Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
Phytochemical content and antioxidant activity of different anatomical parts of Corchorus olitorius and C. capsularis during different phenological stages,https://www.cell.com/heliyon/fulltext/S2405-8440(23)03701-5,"… at various phenological stages. Results also indicate that leaves, stems and roots of C. 
olitorius at … The phytochemical components from roots to leaves in C. olitorius including total …","A Biswas, S Dey, A Xiao, S Huang, ZM Birhanie…",Heliyon,2023,17,roots AND phenology,
"Phenology and resource allocation in a high arctic evergreen dwarf shrub, Cassiope tetragona",https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0587.1987.tb00749.x,"… in below-ground tissues in late August, and small proportions of total phytomass (20%) and 
nutrient standing crops (15-25%) allocated belowground, suggest that belowground tissues …","MLN Nams, B Freedman",Ecography,1987,17,belowground AND phenology,
Digging deep to open the white black box of snow root phenology,https://link.springer.com/article/10.1007/s11284-013-1112-3,"… Here we test the hypothesis that snow roots are true winter … Excavations of snow roots from 
snow packs in January and … These findings complete the annual cycle of snow root phenology…","VG Onipchenko, AM Kipkeev, MI Makarov…",Ecological …,2014,16,roots AND phenology,
Differences in root phenology and water depletion by an invasive grass explains persistence in a Mediterranean ecosystem,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1344,"… a rooting phenology offset, we contrasted aboveground phenology with intensive root image 
… calycina water relations and root as well as shoot phenology. We also explored what water …","ML Phillips, BE McNellis, MF Allen…",American Journal of …,2019,16,roots AND phenology,
"Effect of early cane pruning on yield components, grape composition, carbohydrates storage and phenology in Vitis vinifera L. cv. Merlot",https://oeno-one.eu/article/view/5466,"… We focused on the effect of timing on vine yield, grapes composition, non-structural 
carbohydrates storage in trunk and roots and phenology kinetics. The experiment aimed to evaluate …","L Falginella, F Gaiotti, N Belfiore, G Mian, L Lovat…",Oeno One,2022,16,roots AND phenology,
Dispersal and spatial distribution of western corn rootworm larvae in relation to root phenology.,https://www.cabidigitallibrary.org/doi/full/10.5555/20123362328,"… The feeding site of larvae in the root system was determined by the stage of larval … 
developed root tissue towards the end of their development. Differences in root phenology mainly …","M Schumann, S Vidal - 2012 - cabidigitallibrary.org",,,16,roots AND phenology,
Improving root-zone soil moisture estimations using dynamic root growth and crop phenology,https://www.sciencedirect.com/science/article/pii/S0309170815002389,"… soil-biophysical linkage between root-zone moisture content, … Root distribution (MWSDR) 
that has five soil layers. Impacts of plant root depth variations, growth stages and phenological …","M Hashemian, D Ryu, WT Crow, WP Kustas",Advances in water resources,2015,15,roots AND phenology,
Unaltered phenology but increased production of ectomycorrhizal roots of Pinus elliottii under 4 years of nitrogen addition,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15542,"… N addition did not affect the phenology of ECM roots but increased their production by … 
than phenology of ECM roots to N addition. The increased production of ECM roots under N …","L Kou, S Li, H Wang, X Fu, X Dai",New Phytologist,2019,15,roots AND phenology,
Banana phenology in relation to phytophagous nematodes.,https://www.cabidigitallibrary.org/doi/full/10.5555/19952307861,"… Using this approach, the different relationships between the banana phenology and (i) 
root-… of banana phenology are related to changes at the level of resolution of the root system. …",P Quénéhervé - 1993 - cabidigitallibrary.org,,,15,roots AND phenology,
Phytophthora root rot and irrigation schedule influence growth and phenology of processing tomatoes.,https://www.cabidigitallibrary.org/doi/full/10.5555/19901142332,"… and roots of plants that received prolonged irrigations. Disease symptoms on roots progressed 
more … can have major impacts on plant growth, phenology and yield in processing tomato. …","JB Ristaino, JM Duniway, JJ Marois - 1989 - cabidigitallibrary.org",,,15,roots AND phenology,
Leaf bacterial microbiota response to flooding is controlled by plant phenology in wheat (Triticum aestivum L.),https://www.nature.com/articles/s41598-022-15133-6,"… a disruption of inherent root-shoot communication and promote a functional disequilibrium 
between roots and shoots 82 . Plant phenology drives leaf bacterial microbiota assembly …","D Francioli, G Cid, MR Hajirezaei, S Kolb",Scientific reports,2022,15,roots AND phenology,
On the phenology of soil organisms: Current knowledge and future steps,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.10022,"… to quantitatively analyze phenological patterns, we qualitatively discuss the extent to which 
findings align with expectations for aboveground phenology or belowground ecology (Table 1…","AE Bonato Asato, C Wirth, N Eisenhauer…",Ecology and …,2023,15,belowground AND phenology,
Preferential allocation of carbohydrate reserves belowground supports disturbance-based management of American chestnut (Castanea dentata),https://www.sciencedirect.com/science/article/pii/S037811272200072X,"… trees per collection time) during specific phenological stages throughout one full year. The 
… in our experiment reached a given phenological stage. Sampling times were determined by …","MS Montague, SM Landhäusser, GG McNickle…",Forest Ecology and …,2022,15,belowground AND phenology,
Tunicate bulb size variation in monocots explained by temperature and phenology,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.5996,"… to reliance upon belowground stored resources to flower rather than on current environmental 
inputs. This work highlights the importance of including the belowground portion of plants …","CC Howard, N Cellinese",Ecology and Evolution,2020,15,belowground AND phenology,
The phenology ofOphrys sphegodes (the early spider orchid): what annual censuses can miss,https://www.sciencedirect.com/science/article/pii/S0024407497901455,"… The data collected allow the phenology of the species to be described and the effectiveness 
… emerge above ground and re-enter the below ground phase before the census date. These …","NP SANGER, S WAITE",Botanical Journal of the Linnean Society,1998,15,belowground AND phenology,
On the sensitivity of root and leaf phenology to warming in the Arctic,https://www.tandfonline.com/doi/abs/10.1080/15230430.2017.1414457,"… the primary drivers of Arctic and subarctic root phenology—a study in northern Sweden … 
phenology did not shift root phenology (Blume-Werry, Jansson, and Milbau Citation2017). Root …","L Radville, E Post, DM Eissenstat","Arctic, Antarctic, and Alpine …",2018,14,roots AND phenology,
Leaf and root phenology and biomass of Eriophorum vaginatum in response to warming in the Arctic,https://academic.oup.com/jpe/article-abstract/15/5/1091/6540087,"… In this study, we used OTCs to determine leaf and root phenology along with biomass response 
… (i) to investigate the phenological pattern of leaves vs. roots over the season and explore …","T Ma, T Parker, N Fetcher, SL Unger…",Journal of Plant …,2022,14,roots AND phenology,
Rhizogenesis and concentration of carbohydrates in cuttings harvested at different phenological stages of once-blooming rose shrubs and treated with rooting …,https://www.tandfonline.com/doi/abs/10.1080/01448765.2019.1685407,"… Bio Rhizotonic, Root Juice TM and Bio Roots showed changes in the concentrations of 
reducing and total carbohydrates, dependent on the cultivar and on the phenological stage that …","MJ Monder, A Pacholczak",Biological Agriculture & Horticulture,2020,14,roots AND phenology,
The effects of corn maturity class on western corn rootworm (Coleoptera: Chrysomelidae) phenology,https://www.jstor.org/stable/25085789,"… of 6.5 nodes of roots, while the late hybrid developed an average of 7.0 nodes of roots by the 
… Faster nodal root development was observed early in the season in both 1994 and 1995 for …","J Stavisky, PM Davis",Journal of the Kansas Entomological Society,1997,14,roots AND phenology,
Fine root phenology differs among subtropical evergreen broadleaved forests with increasing tree diversities,https://link.springer.com/article/10.1007/s11104-017-3399-2,"… Fine root phenology represents ecological strategy of plants in … Here, we aimed to understand 
how fine root phenology … Root phenology regulates seasonal variations in root activity …","H Zhao, Y Chen, D Xiong, J Huang, W Wang, Z Yang…",Plant and Soil,2017,13,roots AND phenology,
Belowground annual ring growth coordinates with aboveground phenology and timing of carbon storage in two tallgrass prairie forb species,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1198,"… belowground phenology and starch presence in the root collar. … , we recorded the phenological 
status of the aboveground … clipped off at the root collar (root to shoot transitional zone of …","JR Dee, HD Adams, MW Palmer",American Journal of Botany,2018,13,roots AND phenology,
"Effects of drought and salinity on maize phenology, morphology and productivity in a semi-arid environment",https://www.research.unipd.it/handle/11577/3242920,"… Better understanding of the effects of water availability on crop phenology would thus be … 
in the timing of phenological stages. We also studied related root characteristics and yield …","R Leila, C Dal Cortivo, T Vamerali…",Italian Journal of …,2016,13,roots AND phenology,
